Name,Año,Proyectado ZIPs,Steamer,Real
Mike Zunino,2023,0.728325728,0.664683606,NA
Anthony Rizzo,2023,0.780920344,0.805421897,0.705807058
Max Kepler,2023,0.730109429,0.744696918,0.815993824
Alek Thomas,2023,0.710832279,0.728790725,0.64683155
Nolan Gorman,2023,0.753777702,0.714435298,0.805418718
Joey Ortiz,2023,0.657525606,0.675711332,NA
Ryan Jeffers,2023,0.707920264,0.666682387,0.858090549
Royce Lewis,2023,0.751731602,0.773462292,NA
Austin Nola,2023,0.710737628,0.713122071,NA
Adam Duvall,2023,0.793444512,0.692249965,0.834366147
Adalberto Mondesi,2023,0.700879241,0.664816152,NA
Michael Conforto,2023,0.769340018,0.762195056,0.718279006
Mitch Haniger,2023,0.768942563,0.770479557,NA
Luis Rengifo,2023,0.70841866,0.716479671,0.783488278
William Contreras,2023,0.750399496,0.75833395,0.824620521
Jean Segura,2023,0.716410402,0.724573078,0.555992843
Leody Taveras,2023,0.670615549,0.669242608,0.732903348
Michael Brantley,2023,0.777089208,0.765157631,NA
Brendan Donovan,2023,0.699321417,0.742869875,0.786883212
Noelvi Marte,2023,0.748178184,0.63390299,NA
Mike Tauchman,2023,0.67884058,0.648933596,0.739354599
Donovan Walton,2023,0.721553952,0.675737915,NA
Maikel Garcia,2023,0.668091743,0.649865366,0.680715818
Gary Sanchez,2023,0.740881216,0.690063144,0.780056179
Tony Kemp,2023,0.695150103,0.69879451,0.607019227
Sal Frelick,2023,0.698813586,0.719132417,NA
Logan O'Hoppe,2023,0.728328012,0.720955581,NA
Mark Canha,2023,0.750410959,0.735478059,0.755029585
Jose Siri,2023,0.661392388,0.700730233,0.76130047
Jason Vosler,2023,0.76097692,0.682740568,NA
Alec Bohm,2023,0.732651161,0.733432637,0.764608227
Davis Schneider,2023,0.696741014,0.654402381,NA
Bryson Stott,2023,0.687732172,0.70938307,0.747441915
Nicky Lopez,2023,0.660161956,0.649613988,0.632248061
Tyler Stephenson,2023,0.74547627,0.732583703,0.695709323
Chris Taylor,2023,0.723290615,0.681691403,0.745639176
Omar Narvaez,2023,0.69658006,0.672106736,NA
Kevin Padlo,2023,0.714331289,0.661372125,NA
Justin Foscue,2023,0.734124814,0.67513917,NA
Jake McCarthy,2023,0.724565004,0.726893807,0.644268774
Ramon Laureano,2023,0.728084416,0.709528464,0.67564658
Alexander Canario,2023,0.700499277,0.683999027,NA
Orelvis Martinez,2023,0.705764192,0.64662549,NA
Luis Garcia Jr.,2023,0.722438766,0.721559798,0.688321775
Jake Meyers,2023,0.688229842,0.673153714,0.678064705
Miles Mastrobuoni,2023,0.705844831,0.686196625,NA
Cavan Biggio,2023,0.708881755,0.704987042,0.7104789
Jesse Winker,2023,0.780429023,0.786945199,NA
Kevin Kiermaier,2023,0.659733226,0.653566774,0.740786239
Nick Allen,2023,0.607597941,0.625703026,0.550286606
Edouard Julien,2023,0.697502443,0.684759476,0.839415261
Kramer Robertson,2023,0.632505176,0.611887949,NA
Jurickson Profar,2023,0.795020262,0.766351516,0.689345567
Brandon Belt,2023,0.814056557,0.748683823,0.858487397
Brice Turang,2023,0.641591996,0.653538001,0.584898208
Gabriel Moreno,2023,0.711137727,0.733765119,0.747098317
Tyrone Taylor,2023,0.745545415,0.700831026,NA
Mitch Garver,2023,0.788815483,0.715027152,0.87026239
Michael Stefanic,2023,0.69436737,0.695559707,NA
Ceddanne Rafaela,2023,0.713819412,0.684627621,NA
Rafael Ortega,2023,0.712177416,0.695939277,NA
Seth Brown,2023,0.7529531,0.735564689,0.691719961
Trayce Thompson,2023,0.740660523,0.713044184,NA
Jesus Sanchez,2023,0.740187906,0.73860037,0.776683291
Yuli Gurriel,2023,0.817879446,0.695647796,0.663011769
Christian Bethancourt,2023,0.678733523,0.696750246,0.634728815
Christian Encarnacion-Strand,2023,0.791575364,0.750924182,NA
Michael Busch,2023,0.730931495,0.671649004,NA
Austin Barnes,2023,0.701947438,0.684497128,NA
Abraham Toro,2023,0.733202829,0.712657015,NA
Connor Norby,2023,0.719580794,0.699771589,NA
Juan Yepez,2023,0.79077381,0.752384925,NA
Brett Wisely,2023,0.682664578,0.657131744,NA
Enmanuel Valdez,2023,0.739153197,0.696146545,NA
Carlos Perez,2023,0.668064877,0.665894734,NA
Alex Call,2023,0.715161758,0.711832618,0.614006115
Max Stassi,2023,0.655181314,0.64928558,NA
Josh Lowe,2023,0.682184579,0.673994422,0.835329341
Lewin Diaz,2023,0.744568164,0.680670446,NA
Esteury Ruiz,2023,0.679780498,0.677089351,0.653853556
Giancarlo Stanton,2023,0.799583542,0.81835564,0.69518397
Tom Murphy,2023,0.704672721,0.69836445,NA
Brian Anderson,2023,0.726165414,0.681251058,0.678173835
Connor Wong,2023,0.73905818,0.706779834,0.672944743
Joey Wendle,2023,0.716287456,0.687913934,0.554016353
Mark Vientos,2023,0.719484935,0.71313779,NA
Matt Mervis,2023,0.759718734,0.738754479,NA
Jarren Duran,2023,0.713781892,0.675762687,0.828188097
Eduardo Escobar,2023,0.70880447,0.704606675,0.613230519
Austin Slater,2023,0.743645223,0.715959905,NA
Josh Bell,2023,0.742593325,0.792225426,0.743850418
Pedro Leon,2023,0.664262255,0.594807326,NA
Victor Robles,2023,0.648901099,0.64386725,NA
Nick Fortes,2023,0.684126285,0.709397887,0.561819727
Tyler Freeman,2023,0.67734874,0.704515596,NA
Colton Cowser,2023,0.696536786,0.688003016,NA
Jonathan India,2023,0.749217438,0.743348049,0.745863277
Mark Payton,2023,0.723507114,0.703391098,NA
Wil Myers,2023,0.793823797,0.740503497,NA
Mauricio Dubon,2023,0.692321006,0.675324362,0.720077992
Luis Torrens,2023,0.697661897,0.671765698,NA
TJ Friedl,2023,0.743243522,0.724144821,0.819402895
Ryan Kreidler,2023,0.651282051,0.633283148,NA
Sam Huff,2023,0.679700294,0.666726225,NA
Jacob Amaya,2023,0.658772345,0.622573285,NA
Michael A. Taylor,2023,0.657050555,0.657553383,0.720175598
Josh Harrison,2023,0.70113234,0.681847616,NA
C.J. Cron,2023,0.808743169,0.793858481,0.729072555
Carlos Perez,2023,0.654295206,0.665894734,NA
Eddys Leonard,2023,0.669810285,0.600970022,NA
Damiano Palmegiani,2023,0.722540606,0.593609829,NA
Edmundo Sosa,2023,0.680050487,0.661955778,0.719452589
Jason Martin,2023,0.737806497,0.672158331,NA
Christopher Morel,2023,0.713278731,0.705332225,0.82081607
David Peralta,2023,0.726700991,0.721370625,0.674549521
Jakson Reetz,2023,0.696054547,0.639661372,NA
Brian Serven,2023,0.694717686,0.680675198,NA
Ezequiel Duran,2023,0.699099299,0.678764845,0.767550666
Gabriel Arias,2023,0.677088305,0.681671774,0.62774327
Jonathan Schoop,2023,0.69250457,0.685073324,NA
Mark Mathias,2023,0.717901218,0.675363959,NA
Brayan Rocchio,2023,0.674932282,0.654916242,NA
Josh Naylor,2023,0.765967951,0.794080651,0.842473406
Eloy Jimenez,2023,0.807900882,0.819660615,0.757762888
Cesar Salazar,2023,0.664516476,0.618576097,NA
Connor Joe,2023,0.740649109,0.707774776,0.760290556
