playerID,full_name,teamID,age,OPS,primary_position
ohearry01,Ryan O'Hearn,BAL,30.0,0.800420960040211,1B
ohtansh01,Shohei Ohtani,LAA,29.0,1.0663814537053973,P
olsonma02,Matt Olson,ATL,29.0,0.9925073099415205,1B
oneilty01,Tyler O'Neill,SLN,28.0,0.7153914197257851,OF
ozunama01,Marcell Ozuna,ATL,33.0,0.9047743498215196,OF
pederjo01,Joc Pederson,SFN,31.0,0.7644364114360828,OF
peralda01,David Peralta,LAN,36.0,0.6745495224577188,OF
perezsa02,Salvador Perez,KCA,33.0,0.7143206287544539,C
peterja01,Jace Peterson,ARI,33.0,0.6098122124113916,3B
phamth01,Tommy Pham,ARI,35.0,0.77449171815369,OF
polanjo01,Jorge Polanco,MIN,30.0,0.7889193520359894,2B
profaju01,Jurickson Profar,SDN,30.0,0.6893455672867438,OF
ramirha02,Harold Ramirez,TBA,29.0,0.8125345622119815,OF
ramirjo01,Jose Ramirez,CLE,31.0,0.8306375399395074,3B
realmjt01,J. T. Realmuto,PHI,32.0,0.762351662219384,C
renfrhu01,Hunter Renfroe,CIN,31.0,0.7131079060768621,OF
rengilu01,Luis Rengifo,LAA,26.0,0.7834882792448525,2B
reynobr01,Bryan Reynolds,PIT,28.0,0.7896178135888502,OF
rileyau01,Austin Riley,ATL,26.0,0.861177815894797,3B
rizzoan01,Anthony Rizzo,NYA,34.0,0.7058070596626187,1B
roberlu01,Luis Robert,CHA,26.0,0.8573787794126777,OF
rojasjo01,Josh Rojas,SEA,29.0,0.6393037557654293,2B
rojasmi02,Miguel Rojas,LAN,34.0,0.6104939977280404,SS
rosaram01,Amed Rosario,LAN,28.0,0.6830185285123224,SS
rosared01,Eddie Rosario,ATL,32.0,0.7540543608705523,OF
sanchga02,Gary Sanchez,SDN,31.0,0.7800561797752809,C
sanchje02,Jesus Sanchez,MIA,26.0,0.7758706467661691,OF
santaan02,Anthony Santander,BAL,29.0,0.7967763402253312,OF
santaca01,Carlos Santana,MIL,37.0,0.7473461594947863,1B
schwaky01,Kyle Schwarber,PHI,30.0,0.816559829059829,OF
seageco01,Corey Seager,TEX,29.0,1.0125668825682905,SS
segurje01,Jean Segura,MIA,33.0,0.5551433870737623,3B
semiema01,Marcus Semien,TEX,33.0,0.8260161956176564,2B
senzeni01,Nick Senzel,CIN,28.0,0.695640793315212,OF
smithwi05,Will Smith,LAN,28.0,0.7967057761732852,C
solando01,Donovan Solano,MIN,36.0,0.7597518330513254,1B
solerjo01,Jorge Soler,MIA,31.0,0.8532840722495895,OF
sotoju01,Juan Soto,SDN,25.0,0.92897071695711,OF
springe01,George Springer,TOR,34.0,0.7320273180453847,OF
stallja01,Jacob Stallings,MIA,34.0,0.5616693727824884,C
stantmi03,Giancarlo Stanton,NYA,34.0,0.6951839703828793,OF
strawmy01,Myles Straw,CLE,29.0,0.5938340938340938,OF
suareeu01,Eugenio Suarez,SEA,32.0,0.7140709184312743,3B
swansda01,Dansby Swanson,CHN,29.0,0.7435154104363747,SS
tatisfe02,Fernando Tatis,SDN,24.0,0.769955494693598,OF
tayloch03,Chris Taylor,LAN,33.0,0.7456391765285996,OF
taylomi02,Michael Taylor,MIN,32.0,0.7180267170030492,OF
tellero01,Rowdy Tellez,MIL,28.0,0.6668040783796412,1B
thomala02,Lane Thomas,WAS,28.0,0.7834021331042083,OF
torregl01,Gleyber Torres,NYA,27.0,0.7997463247043783,2B
troutmi01,Mike Trout,LAA,32.0,0.8576630551768674,OF
tuckeky01,Kyle Tucker,HOU,26.0,0.8862371949913544,OF
turneju01,Justin Turner,BOS,39.0,0.8002450559391712,1B
turnetr01,Trea Turner,PHI,30.0,0.7783552901263506,SS
uriasra01,Ramon Urias,BAL,29.0,0.7032828282828283,3B
varshda01,Daulton Varsho,TOR,27.0,0.6734770660210692,OF
vaughan01,Andrew Vaughn,CHA,25.0,0.7431497601195094,1B
vazquch01,Christian Vazquez,MIN,33.0,0.5969160528922772,C
verdual01,Alex Verdugo,BOS,27.0,0.7451656870261522,OF
vogelda01,Dan Vogelbach,NYN,31.0,0.7421943573667711,DH
wadela01,LaMonte Wade,SFN,29.0,0.7871916137812092,1B
walkech02,Christian Walker,ARI,32.0,0.8298969072164948,1B
wendljo01,Joey Wendle,MIA,33.0,0.5516803252652309,SS
wisdopa01,Patrick Wisdom,CHN,32.0,0.7880794701986755,3B
wongko01,Kolten Wong,LAN,33.0,0.5193928571428572,2B
yastrmi01,Mike Yastrzemski,SFN,33.0,0.7735385349558578,OF
yelicch01,Christian Yelich,MIL,32.0,0.8175258918296893,OF
